customer_id,income,employment_length,loan_amount,emi,credit_score,credit_utilization_ratio,missed_payments,avg_monthly_balance,balance_trend,utilization_trend,payment_behavior_score,rolling_missed_3m,num_loans,banking_relationship_length,income_to_emi_ratio,loan_to_income_ratio,defaulted,time_to_default,cluster,default_probability,risk_segment
DCRIS000034,52332.53,13.6,114668.85,3760.36,717,0.0764,0,18213.83,0.3864,-0.0406,100.0,0,1,2.8,13.9132,2.1911,0,36,1,0.35559830159113515,Risky
DCRIS000035,161704.67,2.1,577176.3,10591.36,692,0.2863,0,110086.33,-0.4574,-0.0137,90.49,1,2,9.6,15.2662,3.5693,1,7,2,0.6070361886850699,Critical
DCRIS000036,47452.94,5.7,108466.63,3845.11,669,0.4212,0,22447.5,-1.4163,0.0213,92.12,0,2,0.2,12.3379,2.2857,1,4,1,0.5676442242677253,Risky
DCRIS000037,111895.22,1.1,276927.28,22573.8,735,0.3594,0,57536.24,-0.3602,0.0242,94.85,1,1,0.5,4.9566,2.4749,1,27,1,0.6437292898917909,Risky
DCRIS000038,30460.86,4.8,103084.22,3356.1,710,0.4222,0,20251.85,0.3814,0.0046,97.9,1,5,11.6,9.0736,3.384,0,36,1,0.4124908045728596,Risky
DCRIS000039,44493.05,0.7,151513.14,9646.83,656,0.2551,1,34473.25,0.1191,0.0077,91.33,0,0,0.6,4.6117,3.4052,0,36,1,0.4776652245723015,Risky
DCRIS000040,111092.31,0.0,375868.93,4904.71,597,0.4021,1,40210.69,-0.5071,0.0614,82.03,1,0,5.3,22.6455,3.3834,1,1,1,0.66252455778594,Risky
DCRIS000041,153749.5,13.4,522656.39,8506.42,614,0.231,1,113688.82,-1.3221,0.0236,94.54,0,0,2.4,18.0724,3.3994,0,36,2,0.3930325103002316,Critical
DCRIS000042,109406.0,4.0,218191.95,15450.31,562,0.2987,0,28553.58,-0.8305,0.0912,99.59,2,2,2.1,7.0807,1.9943,0,36,1,0.451201208820719,Risky
DCRIS000043,92098.23,13.1,217046.75,14017.29,691,0.171,0,9606.65,0.477,-0.016,100.0,0,1,4.3,6.5699,2.3567,0,36,1,0.3488052747657451,Risky
DCRIS000044,82399.76,2.0,114089.92,8106.39,611,0.343,2,20252.19,1.3835,0.0149,76.22,0,2,5.2,10.1635,1.3846,0,36,1,0.45457737974497436,Risky
DCRIS000045,40655.39,2.0,86272.19,1243.73,640,0.2651,0,26373.59,2.0917,-0.0215,92.49,0,1,10.8,32.662,2.122,0,36,1,0.3746500273327309,Risky
DCRIS000046,64093.19,2.6,247560.35,3609.44,669,0.59,0,49240.37,-0.9832,0.044,96.93,1,5,1.2,17.7522,3.8624,0,36,1,0.4717539278835048,Risky
DCRIS000047,74878.1,6.1,251440.79,3861.39,763,0.3562,1,36617.07,-2.0178,0.14,81.86,0,0,4.8,19.3865,3.358,0,36,1,0.5580012960554757,Risky
DCRIS000048,186143.53,4.2,329356.78,14429.41,754,0.5217,0,76275.05,-0.3875,0.0361,91.22,0,0,1.7,12.8994,1.7694,1,11,2,0.6390188461264947,Critical
DCRIS000049,121318.06,13.0,329404.82,3966.93,675,0.0488,3,96688.29,0.0867,-0.0108,81.33,0,4,5.1,30.5746,2.7152,0,36,1,0.3366598480111021,Risky
DCRIS000050,34275.15,0.1,47537.2,652.35,781,0.5144,0,23952.53,0.8917,-0.0103,92.54,0,0,0.6,52.4606,1.3869,1,13,0,0.519829865433445,Safe
DCRIS000051,119904.44,6.2,146881.23,2519.96,519,0.2355,0,62266.88,-0.7883,0.0081,91.37,0,3,2.4,47.5629,1.225,0,36,0,0.3560182281311244,Safe
DCRIS000052,78350.74,2.0,153686.88,2520.92,830,0.3006,0,41750.54,0.7709,-0.0243,92.27,0,0,0.8,31.0679,1.9615,0,36,1,0.425055496433491,Risky
DCRIS000053,65765.25,1.0,72427.95,1827.13,735,0.2748,0,18800.04,-0.6756,0.0427,97.43,1,0,1.6,35.974,1.1013,0,36,0,0.41249323538934374,Safe
DCRIS000054,142486.96,3.6,347895.52,6553.66,688,0.5793,0,65497.53,0.1964,-0.05,84.85,0,1,5.0,21.7383,2.4416,1,5,1,0.6095840095356759,Risky
DCRIS000055,183248.73,3.5,364075.89,9887.23,608,0.628,0,143826.58,-0.4984,0.0405,86.4,1,2,1.1,18.532,1.9868,0,36,2,0.6284268718962857,Critical
DCRIS000056,172606.22,0.7,169792.16,2676.64,644,0.1337,0,26922.78,0.0894,-0.0286,96.54,0,2,4.6,64.4621,0.9837,0,36,0,0.2599716780432011,Safe
DCRIS000057,59663.13,1.1,176105.02,4867.5,728,0.482,1,41096.67,-1.1176,-0.0056,78.56,0,1,2.7,12.2549,2.9516,1,1,1,0.6827366895834077,Risky
DCRIS000058,81999.84,2.6,247927.47,3081.63,730,0.4312,1,16838.33,-0.3956,0.0212,85.71,0,0,0.4,26.6006,3.0235,0,36,1,0.5856371484901687,Risky
DCRIS000059,120422.06,2.6,435510.68,5331.97,733,0.3938,1,48124.62,-0.3173,0.0241,78.21,0,1,2.0,22.5807,3.6165,1,8,1,0.5718218258894876,Risky
DCRIS000060,177251.88,1.9,530413.55,17551.49,621,0.2055,0,37879.53,0.0837,-0.0852,99.9,0,1,8.1,10.0984,2.9924,1,7,2,0.5272682221958733,Critical
DCRIS000061,74049.97,0.8,93319.06,1309.02,605,0.3148,0,22529.69,-1.2847,-0.0329,98.82,0,6,18.1,56.5258,1.2602,0,36,0,0.24149837809371855,Safe
DCRIS000062,88309.65,0.0,249078.03,12912.41,695,0.0939,4,61144.65,0.0705,-0.0535,70.35,1,1,1.8,6.8386,2.8205,0,36,1,0.35963726532230683,Risky
DCRIS000063,50827.81,17.6,199095.68,6532.19,741,0.4272,0,21111.76,0.9698,0.0036,100.0,2,0,0.2,7.7799,3.917,1,29,1,0.7431324770869021,Risky
DCRIS000064,48159.61,14.4,167760.66,5415.54,680,0.5959,0,10180.28,-0.5668,-0.0755,100.0,0,1,0.6,8.8912,3.4834,1,36,1,0.6391504518006007,Risky
DCRIS000065,160735.51,3.3,324456.54,5707.84,798,0.2598,0,43338.88,-2.1763,0.0366,93.63,0,3,6.2,28.1556,2.0186,1,6,1,0.5924561134336709,Risky
DCRIS000066,222736.34,26.5,654006.83,8371.03,682,0.2108,0,81511.55,0.9066,-0.0157,100.0,2,2,4.3,26.6048,2.9362,1,1,2,0.3738902935326603,Critical
DCRIS000067,94541.48,5.6,52636.51,1577.32,679,0.4363,1,29809.85,1.5707,-0.006,85.04,0,1,1.3,59.9001,0.5567,0,36,0,0.2844029164303946,Safe
DCRIS000068,180253.55,0.4,228278.31,5356.44,733,0.3914,1,40134.63,0.1242,0.0594,83.99,1,0,2.0,33.6455,1.2664,0,36,0,0.37064775148552603,Safe
DCRIS000069,122636.7,0.6,232608.35,5803.38,777,0.1863,5,95582.33,-0.2112,0.0109,51.35,1,2,6.7,21.1283,1.8967,0,36,1,0.46260033542459444,Risky
DCRIS000070,67032.18,12.4,129884.17,3297.86,572,0.2977,2,25154.99,0.5173,-0.0373,85.81,0,2,2.1,20.3198,1.9376,0,36,1,0.42923816662498665,Risky
DCRIS000071,122619.01,5.0,438297.13,8193.61,590,0.6765,1,40366.52,0.9944,-0.0562,78.19,0,2,5.6,14.9634,3.5744,1,13,1,0.6541821535634871,Risky
DCRIS000072,248406.54,9.3,984130.8,16273.34,654,0.2399,1,175764.64,0.6564,0.0096,86.53,0,1,1.4,15.2637,3.9607010000000002,0,36,2,0.4058248439193934,Critical
DCRIS000073,96616.46,11.4,202105.08,4971.63,900,0.6814,0,60421.98,-2.8457,0.1143,85.42,0,3,5.2,19.4296,2.0918,1,2,1,0.7293898915039424,Risky
DCRIS000074,252403.98,3.0,470933.93,6720.86,659,0.098,0,84149.91,0.5073,-0.0798,100.0,0,4,2.5,37.5498,1.8658,1,12,2,0.4488405761272115,Critical
DCRIS000075,24018.4289,0.2,27296.0285,469.7267,670,0.1893,0,7206.63,-1.3483,-0.0847,97.72,0,1,3.2,56.4527,0.9598,0,36,0,0.25938559031929054,Safe
DCRIS000076,161642.36,1.0,213250.99,6755.86,729,0.2085,0,103968.97,-0.9249,0.0551,96.81,0,3,3.7,23.9227,1.3193,1,1,0,0.4287208909890289,Safe
DCRIS000077,104008.53,0.3,102906.49,2655.37,758,0.3122,0,27376.92,-0.203,-0.0184,100.0,1,2,2.4,39.1544,0.9894,1,4,0,0.4797617449964359,Safe
DCRIS000078,82503.47,1.0,141296.61,1736.1,693,0.375,0,35550.89,-0.8706,-0.0457,90.85,1,3,2.5,47.495,1.7126,1,32,0,0.5574064081009535,Safe
DCRIS000079,104303.11,2.6,324973.78,5867.5,773,0.1335,0,14586.56,-0.2541,-0.0701,98.47,0,0,1.2,17.7734,3.1156,1,18,1,0.4765411276057302,Risky
DCRIS000080,29955.21,0.6,27296.0285,469.7267,584,0.4925,0,5447.6846,0.3148,-0.0356,83.85,1,3,17.0,83.0942,0.5767,1,2,0,0.735511897332803,Safe
DCRIS000081,86525.71,0.9,307181.73,10311.58,618,0.067,1,54890.2,-0.3497,0.0377,97.52,1,3,9.4,8.3903,3.5501,1,20,1,0.6457638256606798,Risky
DCRIS000082,122304.31,3.0,370494.07,7353.88,772,0.4125,0,32417.07,0.4766,0.0907,92.59,1,1,3.0,16.629,3.0293,1,36,1,0.6456875505754888,Risky
DCRIS000083,239602.46,2.1,428920.87,23998.04,680,0.4319,0,50040.84,0.1213,-0.0024,95.12,2,0,0.1,9.9838,1.7901,1,9,2,0.7262476309734972,Critical
DCRIS000084,72333.15,3.2,169172.29,4145.68,579,0.2843,0,55056.33,1.22,-0.0093,99.28,0,1,0.7,17.4436,2.3388,1,8,1,0.546928305957192,Risky
DCRIS000085,60773.18,2.8,53562.44,720.08,574,0.2693,0,35434.13,-1.2013,-0.1114,100.0,0,0,7.7,84.2807,0.8813,1,2,0,0.4484029065192576,Safe
DCRIS000086,73053.39,5.2,235700.58,5469.02,615,0.1465,2,52109.45,-1.3236,-0.0933,87.52,0,2,10.7,13.3552,3.2264,0,36,1,0.38596724237836993,Risky
DCRIS000087,170969.64,13.8,553206.43,7618.32,680,0.1228,0,31231.4,1.3572,-0.0342,100.0,0,1,0.7,22.439,3.2357,1,3,1,0.4842915424253215,Risky
DCRIS000088,120240.68,0.6,219261.51,14734.55,717,0.7452,1,48204.89,-0.0559,0.0244,76.29,0,0,5.3,8.1599,1.8235,1,1,1,0.6737971479478188,Risky
DCRIS000089,71836.21,0.5,101458.33,4616.84,653,0.3605,0,41058.88,2.1427,0.0134,96.06,1,0,3.9,15.5562,1.4123,0,36,1,0.4552371434711377,Risky
DCRIS000090,134317.34,9.6,342006.13,5276.65,710,0.7114,0,92035.61,0.3479,-0.0101,84.74,0,2,1.4,25.4502,2.5462,1,10,1,0.6063169294326701,Risky
DCRIS000091,104636.38,3.5,170513.65,2599.44,645,0.0695,1,49756.56,0.9949,0.0598,92.51,0,2,2.3,40.238,1.6296,0,36,0,0.315760310755646,Safe
DCRIS000092,176519.56,7.3,523283.18,8943.86,777,0.1988,1,137934.01,1.7104,0.0483,94.48,0,1,4.5,19.7342,2.9644,1,36,2,0.4947261443470987,Critical
DCRIS000093,64781.03,1.2,193966.7,2476.12,884,0.4258,0,27385.04,0.389,0.0464,89.48,0,2,0.4,26.1517,2.9941,0,36,1,0.36906043092662555,Risky
DCRIS000094,81097.12,8.8,318268.34,6364.39,648,0.3763,0,13498.64,0.216,0.0176,96.76,0,2,0.8,12.7403,3.9245,0,36,1,0.5176136608137303,Risky
DCRIS000095,78021.14,12.9,135331.62,2104.02,718,0.3001,0,57593.38,-0.7117,0.0282,100.0,0,0,0.1,37.0644,1.7345,0,36,0,0.33112382348368286,Safe
DCRIS000096,41023.12,5.0,28532.01,904.11,711,0.3981,0,23254.78,-0.352,-0.0118,100.0,1,0,9.3,45.324,0.6955,0,36,0,0.40556648253678673,Safe
DCRIS000097,117909.44,0.6,424145.95,7543.69,691,0.2283,1,88959.14,-0.546,0.0217,78.0,0,0,3.4,15.6281,3.5972,0,36,1,0.48074949732869854,Risky
DCRIS000098,115454.66,11.3,61578.74,909.7,732,0.6631,0,39532.61,0.5809,0.0013,95.58,0,2,3.0,118.272525,0.537499,0,36,0,0.24882033511174564,Safe
DCRIS000099,99019.1,7.9,204599.7,3288.07,718,0.2451,0,76963.45,2.406,0.0257,96.5,0,0,4.9,30.1055,2.0662,0,36,1,0.3558723963633954,Risky
DCRIS000100,85754.83,6.9,120084.03,1709.65,642,0.1623,0,20173.54,0.667,0.0297,96.71,0,2,17.8,50.1298,1.4003,1,1,0,0.5460528610875774,Safe
DCRIS000101,42225.41,0.2,81756.95,1992.97,785,0.4485,0,26763.71,0.06,-0.0454,92.56,2,2,0.8,21.1766,1.9362,1,16,1,0.7290103008082957,Risky
DCRIS000102,76696.61,8.0,85189.79,2633.19,696,0.177,0,15297.25,0.5527,-0.0519,100.0,0,0,0.6,29.1158,1.1107,1,20,0,0.3703368953270628,Safe
DCRIS000103,80367.99,0.7,229902.35,7220.63,649,0.0524,0,15176.32,0.0719,0.0925,94.59,1,3,1.4,11.1288,2.8606,1,36,1,0.6216249012814639,Risky
DCRIS000104,61000.27,1.3,150402.16,2152.07,875,0.34,2,6500.08,-0.1534,-0.0719,78.85,0,2,9.4,28.3318,2.4656,1,5,1,0.6332487186307839,Risky
DCRIS000105,89610.57,4.3,171557.61,2334.3,670,0.1932,0,71245.81,-1.4431,0.0039,92.58,1,2,2.1,38.3722,1.9145,1,19,0,0.5013080968057635,Safe
DCRIS000106,125797.72,1.5,355465.57,13168.03,700,0.3427,0,94642.92,0.8139,0.007,100.0,0,1,6.3,9.5525,2.8257,1,10,1,0.5484281230566145,Risky
DCRIS000107,306113.6,5.4,242457.4,6252.68,694,0.1499,1,119700.54,-1.6305,-0.0661,94.26,0,1,0.9,48.9494,0.792,1,1,0,0.3653230627515321,Safe
DCRIS000108,109616.88,4.7,384007.55,4905.97,669,0.383,0,48144.26,0.2213,0.0451,100.0,0,1,2.7,22.339,3.5031,1,3,1,0.5636062744184023,Risky
DCRIS000109,115212.12,0.6,240797.76,18532.18,715,0.0931,0,86754.18,1.7715,-0.0261,100.0,0,6,0.5,6.2165,2.09,0,36,1,0.32832230609906105,Risky
DCRIS000110,94403.41,5.3,250663.4,6769.54,612,0.2321,0,66164.99,-0.3935,-0.0531,96.25,0,2,2.1,13.9433,2.6552,1,28,1,0.5699700387635388,Risky
DCRIS000111,31217.6,12.9,45838.73,815.75,727,0.2438,0,23641.17,-0.1148,0.0763,98.77,3,1,1.2,38.222,1.4683,1,9,0,0.6006758101394715,Safe
DCRIS000112,97157.79,0.9,379134.32,16782.96,539,0.1088,0,65264.11,-0.1616,-0.0107,91.01,0,5,3.2,5.7887,3.9022,1,1,1,0.521925678743748,Risky
DCRIS000113,102348.42,4.5,212847.38,3469.62,576,0.2568,2,30880.0,-0.4209,0.0818,82.09,0,2,6.1,29.4899,2.0796,1,11,1,0.5563606031283075,Risky
DCRIS000114,402799.7562,2.1,498020.25,15064.65,826,0.1895,0,200000.0,-0.97,0.0193,93.89,0,3,11.1,28.7251,1.1508,1,3,2,0.599432906629594,Critical
DCRIS000115,87955.25,3.1,92925.8,1163.28,579,0.2316,0,58946.08,1.1807,-0.1084,99.43,0,1,1.3,75.5447,1.0565,1,12,0,0.4023732836295972,Safe
DCRIS000116,118294.01,1.7,174115.96,10024.13,523,0.2131,0,54283.57,-0.795,-0.0196,99.73,0,0,5.4,11.7998,1.4719,0,36,1,0.462721730927534,Risky
DCRIS000117,96681.07,2.2,309800.73,4163.76,581,0.3132,0,69586.48,-0.0917,-0.0406,94.23,1,1,8.7,23.2141,3.2043,1,10,1,0.6405587379446868,Risky
DCRIS000118,48961.68,0.1,77256.29,1398.02,819,0.4007,0,7002.84,-1.4735,0.0755,92.23,0,3,0.5,34.9972,1.5779,1,7,0,0.6166946711584091,Safe
DCRIS000119,195965.46,20.0,154463.59,2729.88,536,0.1441,0,51293.86,1.2143,0.0398,100.0,1,2,3.5,71.7591,0.7882,0,36,0,0.21664677449443798,Safe
DCRIS000120,154996.81,4.9,320004.07,24352.65,603,0.4183,0,57631.94,0.1674,0.0494,93.46,0,2,3.8,6.3644,2.0646,0,36,2,0.5155961452261351,Critical
DCRIS000121,158675.92,3.5,198356.12,2568.53,563,0.3315,0,91393.63,-0.4322,-0.0268,91.33,1,1,1.3,61.7528,1.2501,1,21,0,0.4422778310260248,Safe
DCRIS000122,57203.34,2.4,212981.4,2911.23,658,0.3075,0,31976.97,0.817,0.0382,91.14,0,2,0.1,19.6425,3.7232,0,36,1,0.4687917722662148,Risky
DCRIS000123,229045.65,3.9,413523.93,9335.18,645,0.3602,0,23409.99,0.0267,0.0485,96.62,0,1,1.2,24.5331,1.8054,1,7,1,0.4862738802501508,Risky
DCRIS000124,42569.33,2.4,68243.08,1455.06,641,0.1271,0,33029.74,1.0135,0.0392,96.83,0,1,3.5,29.2359,1.6031,1,8,0,0.5057803703617623,Safe
DCRIS000125,140380.83,2.2,290471.44,8825.63,828,0.2781,1,18632.23,-0.7405,-0.0729,82.86,0,0,0.9,15.9042,2.0692,1,2,1,0.5392062831324093,Risky
DCRIS000126,367424.59,3.1,220639.92,6181.28,584,0.2255,0,134364.68,0.9783,-0.0656,87.63,0,2,1.4,59.4318,0.6005,0,36,2,0.2187968382705972,Critical
DCRIS000127,54484.86,1.6,128496.09,2771.38,671,0.4756,0,12922.56,-1.3274,-0.0015,89.9,1,0,4.9,19.6527,2.3583,1,1,1,0.7174606890610258,Risky
DCRIS000128,70278.51,1.0,277862.25,15746.07,707,0.2016,0,18619.5,-2.1422,0.0143,100.0,1,2,2.0,4.463,3.9537,0,36,1,0.4311271443950391,Risky
DCRIS000129,104798.09,4.1,178262.02,10120.94,601,0.3616,1,11903.77,-1.6617,-0.1161,81.01,0,0,0.3,10.3536,1.701,0,36,1,0.42119943169462415,Risky
DCRIS000130,72978.1,9.3,275346.95,3889.58,718,0.2121,0,56874.78,-0.0634,0.0188,100.0,0,1,2.0,18.7576,3.773,1,18,1,0.5750156593037447,Risky
DCRIS000131,38933.17,0.8,36067.57,920.26,648,0.01,0,25143.55,0.0585,0.0752,100.0,0,3,30.0,42.261,0.9264,1,10,0,0.5712956543718393,Safe
DCRIS000132,102861.41,0.2,263831.4,3196.71,709,0.0457,1,32234.8,-1.0596,0.0082,85.5,0,2,1.2,32.1672,2.5649,0,36,1,0.4119894776543655,Risky
DCRIS000133,52188.52,1.4,57046.07,3120.74,671,0.6085,0,41027.4,0.7906,0.0377,87.24,0,1,1.2,16.7178,1.0931,1,16,0,0.6734451584673954,Safe
DCRIS000134,131157.67,19.5,469172.8,5904.26,515,0.1287,0,67235.67,-0.1284,0.1084,100.0,0,1,0.7,22.2103,3.5771,0,36,1,0.38482999540312485,Risky
DCRIS000135,56859.89,8.8,172690.36,2936.11,784,0.0271,1,16177.93,-0.7,0.0179,100.0,0,1,1.3,19.3591,3.0371,0,36,1,0.4191499260891873,Risky
DCRIS000136,250186.18,4.5,891341.99,26085.64,845,0.4125,0,150426.01,-1.106,0.0625,87.38,0,3,3.4,9.5906,3.5627,1,34,2,0.7121843334776596,Critical
DCRIS000137,61700.54,13.2,180376.45,5787.46,665,0.2255,0,47760.05,-0.516,-0.0448,100.0,0,1,13.4,10.6592,2.9234,1,1,1,0.540283557692525,Risky
DCRIS000138,81370.09,2.9,232197.62,2873.99,608,0.0537,0,62426.75,-0.2055,0.025,99.34,0,0,3.7,28.3028,2.8536,1,4,1,0.5617592590040428,Risky
DCRIS000139,160831.15,20.5,377957.06,10381.05,800,0.1741,2,114024.08,2.0065,-0.0776,91.87,0,0,2.1,15.4913,2.35,0,36,2,0.40480433473348626,Critical
DCRIS000140,47168.49,1.8,113654.94,2278.0,831,0.3615,2,11566.26,0.5611,-0.0218,71.48,0,1,2.0,20.697,2.4095,1,5,1,0.5079476820622747,Risky
DCRIS000141,113150.71,1.4,366656.27,4540.5,666,0.4834,1,41027.4,0.8004,-0.0211,93.67,0,0,0.1,24.9148,3.2404,1,15,1,0.5391418387698634,Risky
DCRIS000142,216270.59,5.1,541685.0,20140.15,662,0.2196,0,139774.02,-0.1565,-0.0341,98.02,3,2,0.0,10.7377,2.5047,1,3,2,0.7281106843278901,Critical
DCRIS000143,37628.24,3.5,75818.97,3016.68,673,0.193,0,22305.57,-0.6353,0.053,98.58,0,3,6.4,12.4693,2.0149,1,1,1,0.47859836678077494,Risky
DCRIS000144,110280.27,4.9,328255.11,11926.37,546,0.1713,0,47760.39,-0.2285,-0.0588,93.24,0,2,2.7,9.246,2.9765,1,1,1,0.4490460844812659,Risky
DCRIS000145,115373.47,1.8,446947.23,15425.92,656,0.3316,3,70219.33,-0.575,-0.0346,64.62,0,0,0.1,7.4787,3.8739,0,36,1,0.5468881477376875,Risky
DCRIS000146,157801.58,4.8,581279.14,9262.02,817,0.1607,1,16564.33,-0.2027,0.0552,92.86,0,3,1.3,17.0356,3.6836,0,36,1,0.4964486222671005,Risky
DCRIS000147,46996.55,1.6,77021.59,3154.4,666,0.0366,0,15566.02,0.8416,-0.0308,100.0,0,3,1.8,14.894,1.6388,1,14,1,0.40859828516849983,Risky
DCRIS000148,44699.88,0.3,82880.41,5569.51,596,0.357,0,35143.33,0.6917,0.0459,95.0,0,2,6.1,8.0244,1.8541,0,36,1,0.43532896845901914,Risky
